,Order Date,Sales,Segment,Profit
177,2014-02-11,2757.78,Home Office,744.48
180,2014-07-17,3146.4,Corporate,629.28
181,2014-11-22,2456.619,Corporate,664.719
183,2014-04-01,2999.95,Corporate,1439.976
184,2014-07-17,4001.04,Corporate,1440.24
185,2014-08-29,4876.875,Home Office,745.875
187,2014-11-11,3622.29,Home Office,1267.77
190,2014-12-03,2673.36,Consumer,1069.2
194,2014-07-12,1722.2832,Consumer,539.4432
196,2014-09-01,1007.424,Home Office,134.304
201,2014-12-13,4864.32,Home Office,162.12
202,2014-10-13,2154.9,Consumer,129.294
203,2014-06-10,1433.8395,Consumer,-84.3705
206,2014-06-18,3404.5,Home Office,1668.205
214,2014-05-22,1865.97,Corporate,802.17
217,2014-06-02,1094.22,Home Office,328.23
220,2014-08-14,3498.72,Home Office,594.72
222,2014-10-31,2272.86,Consumer,977.22
224,2014-10-07,2582.16,Home Office,361.44
225,2014-10-17,3194.55,Home Office,830.55
227,2014-11-08,1538.721,Corporate,325.701
231,2014-05-09,3359.952,Home Office,1049.985
232,2014-09-23,4663.736,Consumer,-1049.3406
233,2014-11-26,1237.56,Home Office,606.36
236,2014-08-22,4305.552,Consumer,1453.1238
238,2014-12-23,1586.69,Consumer,412.5394
239,2014-07-04,2395.2,Home Office,209.58
240,2014-11-21,1259.97,Consumer,327.5922
243,2014-09-28,2898.21,Consumer,1420.02
245,2014-01-28,2171.16,Corporate,-2750.28
246,2014-09-13,4448.223,Corporate,444.483
256,2014-12-17,1805.9,Corporate,126.4
258,2014-07-04,1687.8,Home Office,742.632
260,2014-06-03,1810.3,Consumer,54.3
261,2014-09-12,2120.5,Consumer,106.0
262,2014-04-17,1275.0,Consumer,140.22
264,2014-03-06,1114.236,Corporate,383.706
266,2014-11-07,3309.2598,Consumer,318.8598
267,2014-11-22,897.48,Consumer,322.92
277,2014-03-26,1421.541,Consumer,428.121
278,2014-11-21,1053.6884,Consumer,441.2884
290,2014-11-18,10499.97,Consumer,5039.9856
291,2014-04-14,3908.88,Corporate,1563.48
292,2014-08-29,2142.3,Home Office,556.9
293,2014-05-16,1900.584,Consumer,-348.516
300,2014-08-28,1682.91,Consumer,487.98
302,2014-03-19,2570.76,Home Office,976.8
303,2014-09-11,2332.96,Home Office,349.86
305,2014-08-16,1801.632,Corporate,-337.806
308,2014-12-24,2550.0,Consumer,714.0
311,2014-10-11,1029.2589,Consumer,10.8189
312,2014-04-21,1058.2792,Corporate,-2.1208
315,2014-09-19,1190.52,Home Office,178.56
316,2014-11-26,3150.819,Consumer,-35.091
317,2014-09-01,1599.9,Home Office,719.85
318,2014-06-20,2063.4,Corporate,123.75
319,2014-10-23,1269.9,Home Office,558.72
321,2014-09-12,848.32,Consumer,110.28
323,2014-01-14,2847.36,Consumer,711.84
324,2014-11-13,1725.75,Home Office,-483.3
327,2014-09-22,1282.23,Consumer,12.69
332,2014-04-30,4135.641,Home Office,847.041
334,2014-06-24,5486.67,Consumer,2316.51
336,2014-08-07,1625.2425,Corporate,-76.5675
338,2014-02-14,734.94,Consumer,130.62
339,2014-11-29,2065.32,Home Office,-619.596
343,2014-01-27,2939.93,Consumer,764.3818
349,2014-04-09,1244.187,Consumer,-13.923
352,2014-06-30,895.92,Consumer,302.373
355,2014-03-17,3299.562,Home Office,366.282
359,2014-05-16,1189.242,Home Office,250.992
360,2014-12-25,2879.952,Home Office,1007.9832
361,2014-12-22,1269.6,Corporate,355.44
364,2014-06-27,815.949,Home Office,287.919
366,2014-02-11,1027.728,Consumer,182.688
367,2014-05-29,1703.025,Consumer,737.925
368,2014-04-16,1803.0837,Consumer,-130.3863
369,2014-11-27,676.485,Corporate,195.285
371,2014-09-18,1637.01,Corporate,90.81
372,2014-02-24,1655.96144,Consumer,13.20144
375,2014-06-17,1239.0,Consumer,0.0
376,2014-03-15,1680.606,Home Office,368.256
377,2014-07-12,2190.75,Consumer,65.7
378,2014-06-09,935.172,Consumer,114.252
379,2014-10-15,1026.96,Consumer,441.36
380,2014-08-06,2550.0,Consumer,280.44
385,2014-11-03,2664.0,Consumer,905.7
393,2014-07-14,1824.144,Consumer,-1303.056
394,2014-06-03,2344.0,Consumer,46.88
395,2014-12-15,2043.72,Consumer,756.0
396,2014-06-28,856.8,Corporate,265.44
397,2014-12-20,2509.36,Corporate,426.58
401,2014-10-27,2189.0898,Corporate,541.3698
405,2014-09-15,1079.85,Home Office,323.955
408,2014-10-23,959.76,Corporate,460.62
409,2014-06-24,3045.84,Consumer,1035.58
413,2014-05-08,1458.65,Corporate,423.0085
419,2014-05-26,663.92,Consumer,207.475
420,2014-10-31,4306.32,Home Office,1722.48
425,2014-01-30,2301.0,Corporate,91.95
428,2014-12-03,2479.96,Consumer,743.988
431,2014-12-29,1461.135,Consumer,202.185
434,2014-05-15,1399.93,Consumer,601.9699
435,2014-09-08,2152.956,Consumer,198.636
438,2014-09-19,1586.412,Consumer,17.532
440,2014-02-10,3425.4,Consumer,1233.0
441,2014-02-08,1136.94,Corporate,568.44
443,2014-04-15,731.34,Home Office,80.4
445,2014-05-05,1272.72,Consumer,534.48
447,2014-06-10,2295.0,Corporate,459.0
450,2014-08-23,3449.88,Corporate,275.94
452,2014-05-19,1429.44,Consumer,471.6
455,2014-10-12,1483.0,Consumer,741.5
456,2014-04-15,1792.4,Home Office,304.7
457,2014-11-28,2455.677,Corporate,-191.163
462,2014-12-24,2553.18,Consumer,842.52
463,2014-05-15,2003.52,Corporate,861.48
464,2014-12-09,1188.36,Consumer,95.04
473,2014-10-02,2575.92,Consumer,978.84
474,2014-02-27,1699.83,Consumer,84.96
477,2014-05-09,4298.85,Consumer,300.9
478,2014-07-04,3417.48,Corporate,854.28
484,2014-08-04,3234.24,Corporate,970.2
486,2014-02-12,2074.734,Consumer,276.534
487,2014-11-11,849.8,Consumer,195.44
490,2014-11-02,2665.62,Consumer,239.9058
492,2014-05-29,1253.07,Home Office,236.67
494,2014-07-05,1464.12,Consumer,439.2
496,2014-10-02,1704.89,Home Office,767.2005
497,2014-09-16,1258.7774,Corporate,375.7774
498,2014-08-07,2584.008,Consumer,290.598
500,2014-09-08,1274.7,Consumer,293.16
503,2014-02-17,1046.25,Consumer,-111.6
507,2014-06-16,2293.488,Corporate,509.568
509,2014-05-13,1715.056,Consumer,300.076
510,2014-12-20,1665.62,Consumer,33.3124
511,2014-11-07,2841.66,Consumer,852.48
516,2014-10-11,2488.56,Consumer,348.24
519,2014-10-25,726.72,Corporate,-18.18
523,2014-05-01,723.3,Consumer,122.85
535,2014-07-18,1100.52,Corporate,352.08
537,2014-04-16,996.3,Corporate,119.55
538,2014-11-17,1919.976,Corporate,215.9973
541,2014-09-12,664.56,Consumer,6.6
542,2014-08-06,1547.1,Consumer,340.2
543,2014-11-20,2190.951,Home Office,316.701
553,2014-06-27,1314.45,Home Office,341.73
567,2014-02-11,2477.55,Corporate,1040.55
570,2014-01-03,2097.12,Consumer,188.64
572,2014-12-13,3242.88,Consumer,421.56
573,2014-07-01,1044.63,Consumer,-295.9785
574,2014-10-04,1793.98,Consumer,843.1706
575,2014-10-07,597.36,Corporate,226.92
577,2014-07-11,796.824,Consumer,231.264
578,2014-04-24,2305.26,Consumer,922.05
581,2014-11-12,1916.88,Consumer,939.26
582,2014-12-17,1212.5,Corporate,606.2
583,2014-11-14,2404.704,Consumer,150.294
585,2014-09-19,856.44,Home Office,222.66
587,2014-07-10,1361.043,Corporate,196.533
588,2014-10-06,3391.74,Corporate,271.08
593,2014-10-13,1612.845,Consumer,394.245
602,2014-11-20,1525.188,Consumer,-2287.782
603,2014-07-21,2063.7684,Consumer,141.1884
606,2014-01-14,4164.05,Corporate,83.281
618,2014-01-16,1924.16,Consumer,312.676
620,2014-08-11,856.68,Home Office,274.08
624,2014-12-02,1914.08,Corporate,669.76
625,2014-01-08,3393.12,Home Office,101.76
626,2014-12-01,1079.316,Consumer,-15.4188
627,2014-06-27,1446.6,Consumer,665.4
632,2014-12-24,2575.92,Consumer,772.68
636,2014-08-05,1237.44,Consumer,74.16
637,2014-08-12,1018.32,Consumer,183.24
640,2014-12-29,1534.869,Corporate,-102.411
647,2014-11-29,2478.84,Home Office,272.58
652,2014-09-01,1350.09,Home Office,256.41
656,2014-12-31,1264.466,Corporate,301.466
661,2014-05-24,1447.44,Corporate,43.32
664,2014-06-02,2405.2,Corporate,793.716
665,2014-06-17,1212.96,Consumer,90.972
676,2014-01-25,2485.62,Consumer,795.24
677,2014-06-18,1560.24,Consumer,421.2
681,2014-01-31,2102.832,Corporate,321.552
683,2014-05-02,2803.92,Consumer,0.0
688,2014-07-22,1626.192,Corporate,121.9644
691,2014-03-24,2205.568,Consumer,689.088
692,2014-04-09,2690.97,Corporate,1264.7559
694,2014-05-28,1395.0,Home Office,237.15
695,2014-06-14,2291.835,Consumer,-1128.435
698,2014-02-18,899.43,Home Office,-12.849
702,2014-08-06,1590.9,Corporate,508.95
703,2014-06-18,1467.36,Consumer,469.44
704,2014-12-31,1091.2806,Corporate,46.9206
707,2014-11-04,1673.184,Home Office,20.9148
709,2014-11-24,2863.35,Corporate,858.9
710,2014-09-23,2841.66,Home Office,189.42
711,2014-11-04,765.459,Corporate,-36.081
712,2014-09-01,1887.84,Corporate,0.0
715,2014-04-17,1801.6,Consumer,180.1
718,2014-12-03,979.95,Consumer,284.1855
719,2014-09-16,1837.56,Home Office,275.52
724,2014-01-29,1864.215,Consumer,455.565
726,2014-02-17,1630.8,Corporate,18.0
730,2014-04-11,1302.78,Consumer,286.56
732,2014-11-18,1221.561,Home Office,325.611
734,2014-06-20,1596.51,Corporate,-53.37
735,2014-11-03,975.92,Corporate,292.776
737,2014-10-03,1885.32,Consumer,18.72
739,2014-09-24,1964.25,Home Office,21.69
741,2014-08-26,1653.804,Home Office,-689.256
742,2014-11-18,621.0,Consumer,180.06
744,2014-09-06,1307.97,Home Office,536.22
745,2014-09-30,1145.232,Consumer,-706.248
746,2014-10-14,1504.52,Consumer,346.0396
748,2014-12-30,1913.4,Corporate,899.1
749,2014-01-20,1854.72,Consumer,778.92
752,2014-03-31,2953.584,Consumer,754.704
755,2014-11-20,2504.74,Corporate,626.185
756,2014-10-15,1318.65,Consumer,567.0
759,2014-08-29,3044.8,Consumer,91.2
760,2014-06-21,656.856,Home Office,94.836
761,2014-05-08,2518.95,Consumer,1032.57
766,2014-12-04,2125.32,Home Office,148.68
769,2014-12-08,3696.0315,Corporate,756.8715
771,2014-03-05,1136.664,Home Office,-880.956
772,2014-06-02,1043.9304,Consumer,-295.5096
778,2014-11-10,1633.14,Corporate,473.6106
779,2014-11-21,775.536,Consumer,213.216
782,2014-04-07,3271.2,Corporate,1341.15
791,2014-08-14,1582.11,Corporate,-886.05
792,2014-06-09,1497.666,Home Office,140.9568
794,2014-05-29,1399.113,Consumer,108.783
797,2014-05-08,820.08,Consumer,98.28
799,2014-02-13,1198.56,Home Office,359.52
800,2014-11-28,1832.607,Consumer,-445.113
802,2014-08-02,1752.6,Corporate,455.64
805,2014-03-13,788.4,Corporate,291.6
807,2014-09-05,1478.272,Consumer,92.392
808,2014-05-17,3094.56,Consumer,1423.44
810,2014-03-14,959.984,Home Office,335.9944
812,2014-09-26,2871.54,Corporate,57.33
814,2014-10-29,886.1412,Consumer,106.7412
816,2014-12-10,1767.6,Consumer,0.0
820,2014-04-14,2111.97,Consumer,190.05
821,2014-12-20,1189.2825,Corporate,-396.4275
824,2014-10-22,909.12,Corporate,9.0912
828,2014-06-23,827.28,Corporate,397.08
830,2014-06-27,2098.32,Corporate,860.16
831,2014-06-26,1938.24,Consumer,-96.96
834,2014-09-15,942.784,Corporate,94.2784
835,2014-07-23,952.29,Consumer,-53.01
836,2014-09-04,2927.28,Consumer,146.16
839,2014-01-18,2117.22,Home Office,-1736.28
841,2014-06-26,2747.7,Consumer,82.26
845,2014-11-27,2124.5,Home Office,488.6
850,2014-09-02,1068.714,Consumer,-0.126
851,2014-05-16,875.22,Corporate,139.98
855,2014-06-12,925.02,Consumer,-447.18
857,2014-07-05,1944.9,Consumer,291.6
861,2014-09-05,825.174,Corporate,-117.882
865,2014-09-02,457.14,Consumer,169.14
869,2014-09-24,1355.13,Corporate,-60.27
876,2014-12-03,1159.056,Corporate,43.4646
878,2014-12-17,1697.584,Corporate,-63.756
881,2014-10-09,2906.4,Consumer,1220.52
882,2014-03-24,2572.74,Consumer,1080.54
883,2014-01-04,2022.272,Consumer,682.5168
887,2014-04-09,1656.72,Consumer,-110.52
888,2014-10-04,2015.496,Consumer,850.836
890,2014-10-17,2533.92,Corporate,278.64
891,2014-12-04,1410.4,Consumer,-88.2
899,2014-10-22,1439.92,Home Office,374.3792
900,2014-01-28,977.022,Consumer,271.332
904,2014-07-14,997.8004,Corporate,327.9004
915,2014-10-06,5199.96,Corporate,1351.9896
918,2014-08-28,1119.888,Corporate,209.979
920,2014-06-17,2383.857,Corporate,794.577
927,2014-09-11,1622.01,Corporate,-623.94
931,2014-03-11,1143.44,Consumer,320.16
932,2014-09-17,2280.6,Home Office,136.8
934,2014-09-29,2088.24,Corporate,83.52
935,2014-07-09,2194.53,Home Office,438.75
942,2014-09-17,538.194,Consumer,-412.6154
949,2014-05-15,1001.88,Corporate,230.4
954,2014-12-24,1572.84,Consumer,141.48
957,2014-08-28,759.66,Consumer,311.46
959,2014-09-03,1282.41,Corporate,213.735
963,2014-06-24,3873.24,Consumer,890.82
964,2014-01-31,791.19,Corporate,126.54
965,2014-05-26,2470.5,Corporate,518.76
967,2014-01-28,759.06,Home Office,15.12
975,2014-04-21,803.52,Consumer,80.28
977,2014-03-28,1011.696,Consumer,126.336
978,2014-09-08,2419.2,Consumer,411.18
980,2014-10-17,1773.72,Corporate,212.76
981,2014-04-16,777.24,Corporate,170.88
987,2014-03-26,3216.24,Consumer,96.39
990,2014-08-18,895.92,Corporate,302.373
992,2014-08-19,2793.528,Corporate,942.8157
995,2014-04-01,2614.689,Consumer,-821.961
999,2014-12-10,1587.0015,Corporate,-76.5585
1002,2014-10-03,1487.4,Consumer,728.7
1003,2014-10-09,908.608,Consumer,-193.152
1004,2014-10-16,1241.001,Consumer,124.011
1007,2014-11-11,899.136,Corporate,-146.1096
1019,2014-08-14,757.32,Consumer,371.04
1020,2014-10-24,3720.0,Consumer,632.4
1021,2014-11-26,985.2,Consumer,78.72
1025,2014-11-05,723.66,Consumer,101.22
1027,2014-03-18,1212.56,Corporate,-45.54
1029,2014-08-29,1075.44,Consumer,182.82
1037,2014-01-29,1028.16,Consumer,274.08
1040,2014-08-15,3256.95,Consumer,716.4
1044,2014-11-18,891.756,Corporate,207.996
1047,2014-09-17,722.36,Consumer,50.56
1050,2014-01-23,642.72,Consumer,224.94
1051,2014-12-01,947.22,Consumer,-236.88
1058,2014-11-20,1113.264,Consumer,-705.096
1061,2014-11-10,544.38,Corporate,157.8702
1067,2014-10-16,510.24,Corporate,6.378
1068,2014-12-15,498.36,Consumer,9.96
1071,2014-05-31,1001.7,Corporate,250.38
1073,2014-12-04,859.68,Home Office,28.56
1075,2014-07-22,1269.9,Home Office,558.72
1079,2014-06-23,2614.689,Corporate,-821.961
1086,2014-02-10,1584.387,Corporate,381.717
1089,2014-12-03,1559.16,Consumer,405.36
1090,2014-11-20,771.228,Consumer,-321.372
1091,2014-10-08,967.32,Consumer,270.72
1092,2014-10-07,1241.001,Corporate,124.011
1099,2014-12-23,629.958,Consumer,94.4937
1102,2014-02-20,1245.86,Corporate,361.2994
1104,2014-10-02,1828.35,Home Office,438.75
1106,2014-03-17,1029.6,Home Office,205.92
1107,2014-10-13,1317.3096,Corporate,396.6696
1118,2014-10-10,1070.685,Corporate,-14.355
1119,2014-03-26,1444.548,Consumer,103.068
1122,2014-08-02,822.42,Home Office,156.24
1124,2014-06-25,1563.552,Home Office,-781.848
1133,2014-10-24,637.896,Corporate,-127.5792
1134,2014-05-01,512.568,Consumer,193.608
1135,2014-03-21,2605.56,Consumer,573.12
1136,2014-08-01,865.9,Consumer,129.8
1139,2014-12-11,778.5,Consumer,132.3
1143,2014-12-15,1272.12,Consumer,546.96
1148,2014-11-27,954.54,Consumer,305.37
1150,2014-06-03,1754.298,Consumer,214.368
1151,2014-07-08,683.988,Consumer,-113.998
1153,2014-05-27,1770.2524,Home Office,422.0524
1154,2014-07-29,1922.3379,Corporate,227.2179
1159,2014-01-31,2003.168,Consumer,250.396
1160,2014-12-07,1227.57992,Home Office,526.31992
1162,2014-03-27,2399.96,Corporate,569.9905
1163,2014-09-25,1169.694,Home Office,-253.4337
1164,2014-10-17,3048.15,Consumer,1463.07
1166,2014-04-28,1232.28,Consumer,529.83
1168,2014-07-21,1219.04,Consumer,198.04
1171,2014-12-03,559.62,Corporate,151.0974
1172,2014-05-07,595.17,Consumer,89.22
1173,2014-05-23,1781.19,Consumer,35.37
1174,2014-03-27,2289.75,Consumer,68.55
1175,2014-08-01,2070.15,Home Office,848.7
1180,2014-03-15,1058.022,Consumer,340.872
1181,2014-12-30,1094.22,Consumer,317.16
1182,2014-12-04,2472.6933,Corporate,903.9933
1184,2014-11-25,1570.6,Consumer,486.8
1185,2014-09-04,2019.6,Home Office,706.68
1187,2014-06-16,3139.128,Consumer,941.688
1189,2014-12-26,1954.44,Home Office,781.74
1190,2014-11-20,2056.95,Consumer,431.76
1197,2014-09-04,1284.822,Corporate,199.782
1203,2014-06-23,1136.64,Consumer,181.68
1204,2014-06-08,1141.8,Corporate,479.52
1207,2014-12-29,1104.408,Consumer,208.608
1209,2014-11-27,775.62,Corporate,139.59
1211,2014-10-23,617.55,Corporate,172.8
1212,2014-03-25,2060.7,Corporate,700.5
1213,2014-10-24,646.4988,Consumer,-13.9812
1215,2014-07-11,890.4285,Consumer,114.7785
1217,2014-11-26,2066.4,Corporate,103.2
1219,2014-07-14,1717.848,Consumer,-133.632
1221,2014-12-16,630.15,Corporate,31.5
1226,2014-02-04,2981.58,Consumer,1192.52
1230,2014-10-29,528.009,Consumer,-72.441
1234,2014-09-05,775.56576,Corporate,83.88576
1236,2014-09-22,439.68,Consumer,153.84
1238,2014-10-13,1138.83,Corporate,187.53
1239,2014-09-09,676.0305,Consumer,151.0605
1241,2014-11-19,2060.7,Home Office,886.05
1250,2014-11-08,1703.14688,Consumer,713.22688
1251,2014-04-28,1845.72,Consumer,18.36
1253,2014-07-30,2671.452,Corporate,133.392
1258,2014-03-15,521.184,Corporate,-260.616
1261,2014-11-13,1458.96,Consumer,495.84
1263,2014-06-02,1925.88,Corporate,539.2464
1273,2014-09-21,2888.127,Consumer,609.7157
1276,2014-05-27,1953.666,Corporate,282.126
1277,2014-11-10,826.62,Corporate,355.4466
1279,2014-12-10,1399.98,Consumer,629.991
1281,2014-09-15,858.64,Corporate,171.72
1290,2014-12-19,1285.44,Corporate,449.88
1293,2014-09-12,927.72,Home Office,259.74
1300,2014-02-04,714.15,Corporate,-28.59
1301,2014-09-27,766.95,Home Office,-352.8
1302,2014-06-09,1062.534,Consumer,-175.026
1303,2014-09-21,2254.41,Consumer,375.735
1304,2014-11-06,1272.6,Home Office,496.26
1309,2014-06-09,1523.46696,Corporate,241.14696
1311,2014-10-17,529.74,Consumer,117.72
1314,2014-10-28,2970.9,Consumer,237.6
1320,2014-11-08,409.08,Home Office,110.4
1321,2014-08-18,2518.29,Corporate,654.7554
1324,2014-11-25,1411.02,Consumer,580.02
1325,2014-09-16,2357.488,Consumer,884.058
1326,2014-11-28,1849.32,Home Office,203.4
1331,2014-05-06,1266.96,Consumer,139.32
1332,2014-12-22,1000.02,Corporate,290.0058
1337,2014-03-17,2096.4555,Corporate,-429.3945
1349,2014-09-03,2804.58,Home Office,822.66
1350,2014-06-27,543.92,Home Office,135.98
1353,2014-08-16,1904.4,Corporate,418.92
1355,2014-04-03,1599.156,Home Office,37.476
1356,2014-05-15,1224.9,Home Office,318.42
1357,2014-04-22,858.06,Consumer,248.64
1360,2014-07-26,2049.84,Corporate,68.19
1361,2014-07-22,2039.0715,Consumer,109.6215
1362,2014-12-23,1272.6,Consumer,496.26
1365,2014-03-03,900.72,Consumer,45.0
1367,2014-12-11,1144.89,Consumer,-686.97
1368,2014-06-11,1287.96,Corporate,386.34
1373,2014-04-22,454.95,Consumer,190.95
1375,2014-01-24,346.29,Home Office,55.23
1380,2014-09-29,2415.42,Home Office,1134.84
1385,2014-03-04,1060.44,Corporate,360.48
1387,2014-08-23,616.44,Consumer,265.02
1389,2014-02-17,1071.84,Corporate,310.8
1392,2014-10-13,1308.48,Home Office,536.46
1394,2014-12-13,1622.3355,Consumer,248.0355
1395,2014-03-21,2092.5,Home Office,720.75
1399,2014-11-06,552.501,Consumer,110.421
1408,2014-11-21,1241.28,Consumer,434.4
1409,2014-09-13,960.0,Consumer,57.6
1410,2014-12-19,4627.368,Home Office,1439.448
1413,2014-02-25,918.459,Corporate,21.519
1415,2014-07-02,2550.0,Home Office,714.0
1416,2014-02-21,1299.684,Corporate,-15.516
1419,2014-04-02,766.5246,Consumer,288.4446
1430,2014-03-14,1243.98,Corporate,534.78
1431,2014-03-26,1884.6,Home Office,791.46
1433,2014-09-17,1715.16,Home Office,377.28
1435,2014-05-26,1182.6,Consumer,106.32
1436,2014-02-07,2830.425,Home Office,-1981.395
1437,2014-05-07,627.168,Consumer,70.5564
1439,2014-11-12,2863.35,Consumer,381.75
1445,2014-10-29,1015.92,Consumer,-24.03
1446,2014-06-12,726.78,Corporate,319.74
1451,2014-12-27,829.22,Consumer,49.7
1454,2014-10-13,2077.32,Home Office,394.68
1456,2014-07-24,932.985,Home Office,165.735
1460,2014-12-19,1704.56,Consumer,511.368
1464,2014-11-05,1123.08,Corporate,224.58
1466,2014-05-20,1274.7,Consumer,140.16
1470,2014-09-12,1471.96,Consumer,459.9875
1471,2014-12-15,2534.0175,Consumer,136.2375
1475,2014-06-20,967.896,Consumer,247.296
1477,2014-08-13,811.23,Corporate,153.93
1479,2014-12-27,750.68,Corporate,37.534
1482,2014-12-01,663.936,Home Office,82.992
1483,2014-10-27,709.56,Consumer,212.76
1485,2014-08-15,1161.16,Consumer,452.76
1493,2014-12-25,1762.68,Consumer,669.72
1494,2014-04-16,610.6,Consumer,238.12
1498,2014-11-01,1808.757,Corporate,155.457
1499,2014-12-24,2386.125,Consumer,381.675
1505,2014-08-08,1473.1,Consumer,412.468
1506,2014-11-26,578.2,Corporate,0.0
1508,2014-07-04,501.9,Consumer,215.7
1511,2014-01-24,1699.56,Consumer,441.72
1518,2014-01-03,695.7,Corporate,-27.828
1520,2014-11-12,1275.0,Consumer,357.0
1522,2014-09-05,1054.74,Consumer,379.68
1526,2014-02-08,756.6,Corporate,332.88
1527,2014-11-24,783.99,Consumer,337.14
1529,2014-05-23,321.728,Home Office,-8.112
1533,2014-11-29,1049.2,Home Office,272.792
1536,2014-12-02,963.9,Home Office,269.82
1539,2014-04-10,478.24,Consumer,219.9904
1544,2014-03-26,842.76,Consumer,210.6
1545,2014-01-17,1770.6,Home Office,495.75
1550,2014-04-21,1958.04,Corporate,509.04
1552,2014-06-19,1168.65,Corporate,292.11
1553,2014-09-25,520.464,Consumer,-14.8704
1555,2014-12-27,652.68,Corporate,169.68
1556,2014-09-18,698.04112,Consumer,131.48112
1559,2014-01-29,581.4,Consumer,273.24
1560,2014-04-28,1447.8135,Home Office,596.0535
1561,2014-07-15,1889.946,Consumer,-377.9892
1562,2014-10-12,1275.0,Corporate,140.22
1571,2014-05-21,704.76,Consumer,162.0948
1572,2014-11-27,979.95,Consumer,264.5865
1573,2014-06-17,798.75,Corporate,311.49
1576,2014-12-29,725.84,Corporate,210.4936
1578,2014-01-04,1002.9105,Corporate,-329.8095
1581,2014-12-30,1830.78,Consumer,768.88
1583,2014-09-23,1071.0,Consumer,171.36
1585,2014-09-02,2452.275,Corporate,190.575
1586,2014-03-28,1023.332,Consumer,-30.098
1587,2014-08-29,1216.53,Consumer,304.08
1589,2014-09-23,391.98,Consumer,113.6742
1590,2014-11-24,1536.84,Consumer,614.7
1596,2014-08-01,2172.0768,Corporate,628.0368
1600,2014-11-18,2129.4954,Consumer,938.7954
1607,2014-09-19,972.81048,Home Office,36.93048
1612,2014-11-21,1429.26,Corporate,199.92
1613,2014-06-13,2571.12,Consumer,179.88
1614,2014-09-05,1322.352,Corporate,-99.1764
1615,2014-12-26,931.77,Home Office,214.29
1617,2014-04-22,868.95,Corporate,217.2
1621,2014-09-26,1315.68,Consumer,328.8
1622,2014-09-04,520.8,Corporate,10.29
1626,2014-09-16,1388.73,Corporate,680.4
1628,2014-08-24,785.61,Home Office,157.05
1632,2014-11-12,1158.12,Corporate,130.2885
1633,2014-02-12,963.136,Corporate,108.3528
1638,2014-10-03,1704.87,Corporate,409.14
1649,2014-06-30,1961.0352,Home Office,-147.6048
1651,2014-11-17,482.76,Consumer,183.33
1655,2014-05-21,1940.064,Home Office,339.444
1656,2014-12-10,576.2,Home Office,242.0
1658,2014-12-15,1199.98,Home Office,467.9922
1660,2014-11-03,590.352,Home Office,206.6232
1665,2014-12-05,897.156,Corporate,-10.044
1677,2014-11-25,1409.04,Consumer,436.77
1678,2014-11-26,517.80624,Consumer,-118.11376
1679,2014-11-11,834.9,Consumer,267.15
1685,2014-09-05,1180.44,Consumer,519.3
1687,2014-01-18,840.56,Consumer,243.74
1688,2014-10-13,542.484,Consumer,126.564
