,Sales
185,4876.875
186,1788.822
187,3622.29
188,1242.585
189,4453.05
190,2673.36
191,2046.195
192,5451.3
193,4535.976
194,1722.2832
195,2575.944
196,1007.424
197,2934.33
198,4624.29
199,1066.446
200,957.6
201,4864.32
202,2154.9
203,1433.8395
204,2784.6
205,3063.27
206,3404.5
207,1606.23
208,2044.8
209,1214.85
210,1521.0
211,2443.905
212,1348.704
213,1141.8
214,1865.97
215,6998.64
216,1091.25
217,1094.22
218,1320.624
219,2555.64
220,3498.72
221,1439.976
222,2272.86
223,5211.12
224,2582.16
225,3194.55
226,1704.996
227,1538.721
228,1381.32
229,1181.547
230,1696.248
231,3359.952
232,4663.736
233,1237.56
234,1274.7
235,3172.14
236,4305.552
237,3979.29
238,1586.69
239,2395.2
240,1259.97
241,2058.0
242,2539.8765
243,2898.21
244,1320.0075
245,2171.16
246,4448.223
247,1913.4
248,2300.616
249,2615.94
250,1066.68
251,3504.9
252,2544.6
253,3694.68
254,2214.849
255,1236.48
256,1805.9
257,3059.982
258,1687.8
259,2715.93
260,1810.3
261,2120.5
262,1275.0
263,1593.648
264,1114.236
265,2944.08
266,3309.2598
267,897.48
268,2056.05
269,2365.6592
270,1336.356
271,3038.64
272,2698.65
273,3799.08
274,2756.34
275,983.88
276,1719.807
277,1421.541
278,1053.6884
279,1440.84
280,2544.372
281,2625.12
282,1554.48
283,1278.0
284,3474.08
285,2550.0
286,1101.48
287,1016.792
288,1199.976
289,934.248
290,10499.97
291,3908.88
292,2142.3
293,1900.584
294,1840.68
295,2624.04
296,3076.5
297,3181.7718
298,1392.633
299,1296.24
300,1682.91
301,1278.0
302,2570.76
303,2332.96
304,1582.2
305,1801.632
306,1512.0
307,695.7
308,2550.0
309,2025.36
310,2285.7
311,1029.2589
312,1058.2792
313,5751.54
314,2442.069
315,1190.52
316,3150.819
317,1599.9
318,2063.4
319,1269.9
320,3274.02
321,848.32
322,3080.0
323,2847.36
324,1725.75
325,1479.3138
326,4899.93
327,1282.23
328,2478.6
329,17499.95
330,959.76
331,1090.782
332,4135.641
333,2325.28
334,5486.67
335,1523.664
336,1625.2425
337,1319.96
338,734.94
339,2065.32
340,1391.52
341,1552.831
342,2461.06
343,2939.93
344,8159.952
345,1226.19
346,1809.255
347,1863.0
348,4548.81
349,1244.187
350,2364.102
351,1946.313
352,895.92
353,2283.714
354,2549.76
355,3299.562
356,2489.4
357,3406.664
358,999.98
359,1189.242
360,2879.952
361,1269.6
362,3499.155
363,2993.025
364,815.949
365,1245.0
366,1027.728
367,1703.025
368,1803.0837
369,676.485
370,969.36
371,1637.01
372,1655.96144
373,976.96
374,731.34
375,1239.0
376,1680.606
377,2190.75
378,935.172
379,1026.96
380,2550.0
381,1224.714
382,2667.537
383,2605.92
384,2962.68
385,2664.0
386,1513.56
387,1233.63
388,855.15
389,956.34
390,1801.632
391,1838.52
392,4498.83
393,1824.144
394,2344.0
395,2043.72
396,856.8
397,2509.36
398,819.936
399,2797.248
400,1455.08
401,2189.0898
402,5451.3
403,1291.08
404,1526.52
405,1079.85
406,1869.72
407,1815.24
408,959.76
409,3045.84
410,2125.0
411,976.08
412,1266.36
413,1458.65
414,2134.44
415,4748.436
416,1867.5
417,1001.7
418,899.136
419,663.92
420,4306.32
421,899.55
422,763.92
423,2544.24
424,1136.664
425,2301.0
426,3908.88
427,1951.84
428,2479.96
429,2249.16
430,2528.26
431,1461.135
432,3045.84
433,3785.292
434,1399.93
435,2152.956
436,1244.1
437,2226.816
438,1586.412
439,3040.0
440,3425.4
441,1136.94
442,677.6352
443,731.34
444,3499.93
445,1272.72
446,1856.34
447,2295.0
448,1622.1825
449,1063.44
450,3449.88
451,585.456
452,1429.44
453,1057.8
454,1092.96
455,1483.0
456,1792.4
457,2455.677
458,1900.44
459,3712.59
460,2372.22
461,5725.35
462,2553.18
463,2003.52
464,1188.36
465,2875.095
466,2380.5
467,1619.1
468,2821.7178
469,2991.1032
470,1798.6764
471,2544.84
472,951.72
473,2575.92
474,1699.83
475,2634.552
476,3707.352
477,4298.85
478,3417.48
479,2080.32
480,840.6
481,1369.764
482,1288.8
483,660.69
484,3234.24
485,2171.3
486,2074.734
487,849.8
488,1177.173
489,2270.34
490,2665.62
491,2863.08
492,1253.07
493,3369.24
494,1464.12
495,1273.125
496,1704.89
497,1258.7774
498,2584.008
499,1482.39
500,1274.7
501,1604.9
502,2818.08
503,1046.25
504,3187.2
505,4099.68
506,703.35
507,2293.488
508,1238.6115
509,1715.056
510,1665.62
511,2841.66
512,3399.66
513,1607.76
514,840.15
515,1236.33
516,2488.56
517,1124.256
518,3999.95
519,726.72
520,2799.96
521,1519.92
522,1279.32
523,723.3
524,642.69
525,2619.0
526,1704.87
527,1715.91
528,1278.0
529,1234.56
530,4195.2
531,1765.395
532,1480.368
533,2968.98
534,2301.138
535,1100.52
536,2518.95
537,996.3
538,1919.976
539,922.95
540,1850.445
541,664.56
542,1547.1
543,2190.951
544,3242.88
545,2544.6
546,2605.56
547,1271.457
548,876.3
549,1207.56
550,2051.1
551,2544.24
552,1421.664
553,1314.45
554,3991.98
555,980.32
556,1799.97
557,2470.5
558,1499.95
559,877.02
560,1618.37
561,1917.36
562,2173.5
563,1927.59
564,1799.1
565,1814.25
566,1293.675
567,2477.55
568,1399.944
569,723.3
570,2097.12
571,1350.12
572,3242.88
573,1044.63
574,1793.98
575,597.36
576,3955.14
577,796.824
578,2305.26
579,2833.76
580,2077.32
581,1916.88
582,1212.5
583,2404.704
584,1622.565
585,856.44
586,2887.056
587,1361.043
588,3391.74
589,2375.296
590,889.02
591,1782.48
592,667.7685
593,1612.845
594,845.208
595,2799.63
596,1549.1286
597,1696.4
598,935.5
599,2036.8125
600,980.52
601,1654.644
602,1525.188
603,2063.7684
604,1457.28
605,1693.23
606,4164.05
607,1411.2
608,2039.796
609,5737.5
610,1641.087
611,1380.9
612,1917.0
613,823.5
614,872.32
615,3180.75
616,2910.1875
617,2348.82
618,1924.16
619,910.35
620,856.68
621,1731.072
622,1330.992
623,2573.82
624,1914.08
625,3393.12
626,1079.316
627,1446.6
628,3272.01
629,3386.859
630,728.532
631,2498.526
632,2575.92
633,2546.46
634,2888.76
635,1031.4
636,1237.44
637,1018.32
638,600.6
639,2756.943
640,1534.869
641,1781.136
642,6439.8
643,1363.2
644,3315.27
645,1266.86
646,2123.028
647,2478.84
648,1894.536
649,1006.056
650,5399.91
651,1317.9
652,1350.09
653,1839.18
654,2799.96
655,1908.18
656,1264.466
657,3930.072
658,965.16
659,748.116
660,943.866
661,1447.44
662,1552.5
663,1999.96
664,2405.2
665,1212.96
666,919.26
667,3045.84
668,766.872
669,2880.18
670,1403.36
671,1819.104
672,2249.91
673,2018.331
674,2065.5
675,1274.16
676,2485.62
677,1560.24
678,3271.2
679,751.488
680,2120.8
681,2102.832
682,820.488
683,2803.92
684,1718.172
685,553.44
686,2794.2525
687,1242.54
688,1626.192
689,1274.7
690,1553.76
691,2205.568
692,2690.97
693,3227.7
694,1395.0
695,2291.835
696,1660.8
697,2436.672
698,899.43
699,954.6
700,1903.0
701,2621.322
702,1590.9
703,1467.36
704,1091.2806
705,2014.3632
706,3877.68
707,1673.184
708,3083.43
709,2863.35
710,2841.66
711,765.459
712,1887.84
713,742.336
714,795.408
715,1801.6
716,779.28
717,613.26
718,979.95
719,1837.56
720,3979.29
721,1349.85
722,1198.2986
723,3393.68
724,1864.215
725,1142.64
726,1630.8
727,1172.664
728,2021.88
729,836.928
730,1302.78
731,2243.88
732,1221.561
733,1609.29
734,1596.51
735,975.92
736,2018.88
737,1885.32
738,3119.34
739,1964.25
740,1202.94
741,1653.804
742,621.0
743,2673.81
744,1307.97
745,1145.232
746,1504.52
747,1902.10816
748,1913.4
749,1854.72
750,2958.984
751,810.72
752,2953.584
753,2593.8
754,2051.013
755,2504.74
756,1318.65
757,1120.77
758,1983.968
759,3044.8
760,656.856
761,2518.95
762,1669.248
763,2476.08
764,1687.8
765,1302.78
766,2125.32
767,1954.44
768,856.92
769,3696.0315
770,1302.96
771,1136.664
772,1043.9304
773,1720.116
774,1253.76
775,2180.244
776,1306.467
777,1704.96
778,1633.14
779,775.536
780,2012.049
781,2166.8976
782,3271.2
783,755.80536
784,2182.68
785,1285.56
786,1479.36
787,740.184
788,1533.15
789,2563.92
790,2897.91
791,1582.11
792,1497.666
793,2616.96
794,1399.113
795,3421.71
796,1322.93
797,820.08
798,2678.94
799,1198.56
800,1832.607
801,1857.06
802,1752.6
803,1850.46
804,2337.15
805,788.4
806,715.53
807,1478.272
808,3094.56
809,882.0324
810,959.984
811,953.82
812,2871.54
813,2544.6
814,886.1412
815,473.847
816,1767.6
817,780.608
818,892.136
819,2711.7
820,2111.97
821,1189.2825
822,1908.45
823,1793.98
824,909.12
825,1854.9297
826,924.66
827,1760.43
828,827.28
829,1510.96
830,2098.32
831,1938.24
832,803.52
833,1391.76
834,942.784
835,952.29
836,2927.28
837,1619.91
838,1999.96
839,2117.22
840,799.984
841,2747.7
842,1014.72
843,1591.56
844,533.22
845,2124.5
846,1053.8676
847,1087.936
848,1248.84
849,2040.92
850,1068.714
851,875.22
852,1403.082
853,1743.96
854,1071.84
855,925.02
856,1682.748
857,1944.9
858,3040.8
859,1799.994
860,1003.34928
861,825.174
862,808.731
863,2764.3275
864,2563.056
865,457.14
866,599.98
867,1933.2
868,704.052
869,1355.13
870,1198.33
871,1295.84
872,2819.52
873,2571.12
874,976.08
875,607.32
876,1159.056
877,1649.95
878,1697.584
879,2063.4
880,632.043
881,2906.4
882,2572.74
883,2022.272
884,1583.82
885,2003.92
886,826.11
887,1656.72
888,2015.496
889,2219.184
890,2533.92
891,1410.4
892,1773.72
893,1377.9
894,2582.16
895,589.41
896,1257.456
897,1294.75
898,2429.44
899,1439.92
900,977.022
901,2891.7
902,901.95
903,2042.82
904,997.8004
905,1411.344
906,1647.0
907,972.567
908,1313.712
909,1273.56
910,1908.18
911,1256.22
912,2398.374
913,680.28
914,964.08
915,5199.96
916,1709.235
917,929.34
918,1119.888
919,1799.97
920,2383.857
921,1891.5
922,912.24
923,947.22176
924,1983.015
925,2146.6
926,2879.82
927,1622.01
928,1503.684
929,1454.9
930,893.5614
931,1143.44
932,2280.6
933,1401.84
934,2088.24
935,2194.53
936,1527.12
937,972.615
938,794.7
939,2761.2
940,3312.24
941,825.792
942,538.194
943,3180.3
944,1860.0
945,2582.16
946,881.1
947,1622.1825
948,1677.186
949,1001.88
950,2519.958
951,554.526
952,2120.8
953,1531.2
954,1572.84
955,1236.33
956,3023.928
957,759.66
958,2951.991
959,1282.41
960,627.276
961,756.8
962,553.92
963,3873.24
964,791.19
965,2470.5
966,2120.7
967,759.06
968,1581.03
969,1161.1971
970,642.72
971,1308.48
972,3547.44
973,724.8
974,1487.04
975,803.52
976,839.988
977,1011.696
978,2419.2
979,803.04
980,1773.72
981,777.24
982,1893.3
983,689.094
984,737.91
985,2570.76
986,1199.76
987,3216.24
988,1274.24
989,2145.72
990,895.92
991,882.15
992,2793.528
993,895.05
994,1570.176
995,2614.689
996,569.536
997,636.78
998,2751.2
999,1587.0015
1000,1037.7096
1001,2279.96
1002,1487.4
1003,908.608
1004,1241.001
1005,1121.688
1006,1838.52
1007,899.136
1008,783.96
1009,2605.392
1010,803.52
1011,584.2
1012,1679.616
1013,1148.7825
1014,681.72
1015,3633.9
1016,1229.6865
1017,2637.0
1018,1764.165
1019,757.32
1020,3720.0
1021,985.2
1022,2367.954
1023,837.864
1024,824.22
1025,723.66
1026,4618.215
1027,1212.56
1028,1299.99
1029,1075.44
1030,883.95
1031,1209.84
1032,1926.72
1033,703.71
1034,804.768
1035,470.112
1036,1447.44
1037,1028.16
1038,1519.32
1039,935.172
1040,3256.95
1041,952.722
1042,2968.7
1043,2584.386
1044,891.756
1045,1134.81
1046,634.8
1047,722.36
1048,491.136
1049,2842.83
1050,642.72
1051,947.22
1052,2076.0
1053,1309.203
1054,2266.1475
1055,1081.71
1056,3606.336
1057,2367.36
1058,1113.264
1059,1285.44
1060,1718.1
1061,544.38
1062,1971.675
1063,578.238
1064,900.08
1065,755.0868
1066,714.3
1067,510.24
1068,498.36
1069,2069.55
1070,1836.0
1071,1001.7
1072,624.42
1073,859.68
1074,750.195
1075,1269.9
1076,535.653
1077,2182.68
1078,1181.88
1079,2614.689
1080,1429.05
1081,826.0
1082,1431.3375
1083,959.984
1084,3407.94
1085,752.21256
1086,1584.387
1087,2548.56
1088,781.02
1089,1559.16
1090,771.228
1091,967.32
1092,1241.001
1093,3266.376
1094,1352.376
1095,1508.04
1096,738.63
1097,694.47
1098,874.02
1099,629.958
1100,2396.4
1101,3709.26
1102,1245.86
1103,528.93
1104,1828.35
1105,1487.808
1106,1029.6
1107,1317.3096
1108,1987.32
1109,1471.1157
1110,3028.8
1111,1713.096
1112,1245.861
1113,2266.1475
1114,886.221
1115,2683.8
1116,2752.8525
1117,1629.756
1118,1070.685
1119,1444.548
1120,907.011
1121,2147.6
1122,822.42
1123,1921.968
1124,1563.552
1125,704.9
1126,1378.17
1127,1196.86
1128,2453.04
1129,1007.979
1130,1332.639
1131,2147.46
1132,759.78
1133,637.896
1134,512.568
1135,2605.56
1136,865.9
1137,2605.92
1138,1111.725
1139,778.5
1140,1035.3
1141,915.68
1142,2198.7
1143,1272.12
1144,1207.67296
1145,1821.6
1146,1325.85
1147,535.8
1148,954.54
1149,816.72
1150,1754.298
1151,683.988
1152,721.8534
1153,1770.2524
1154,1922.3379
1155,636.21
1156,5759.964
1157,579.95
1158,868.95
1159,2003.168
1160,1227.57992
1161,1620.3
1162,2399.96
1163,1169.694
1164,3048.15
1165,914.28
1166,1232.28
1167,709.69776
1168,1219.04
1169,1993.08
1170,1819.86
1171,559.62
1172,595.17
1173,1781.19
1174,2289.75
1175,2070.15
1176,780.6912
1177,1157.58
1178,1513.56
1179,911.574
1180,1058.022
1181,1094.22
1182,2472.6933
1183,4404.9
1184,1570.6
1185,2019.6
1186,1852.032
1187,3139.128
1188,599.88
1189,1954.44
1190,2056.95
1191,1022.56
1192,1981.044
1193,538.488
1194,590.904
1195,1150.038
1196,1770.67156
1197,1284.822
1198,1621.953
1199,905.13
1200,1859.13
1201,1429.44
1202,987.957
1203,1136.64
1204,1141.8
1205,2973.06
1206,1026.54
1207,1104.408
1208,903.006
1209,775.62
1210,1393.524
1211,617.55
1212,2060.7
1213,646.4988
1214,1743.96
1215,890.4285
1216,1229.904
1217,2066.4
1218,1274.88
1219,1717.848
1220,1321.92
1221,630.15
1222,619.95
1223,1113.504
1224,2470.5
1225,2363.757
1226,2981.58
1227,1461.7
1228,1167.168
1229,966.4
1230,528.009
1231,1424.9
1232,1125.6
1233,1034.94
1234,775.56576
1235,946.764
1236,439.68
1237,585.552
1238,1138.83
1239,676.0305
1240,1455.12
1241,2060.7
1242,1217.568
1243,1591.11
1244,1384.29
1245,1013.832
1246,1215.36
1247,1822.08
1248,1649.214
1249,1266.03
1250,1703.14688
1251,1845.72
1252,637.35
1253,2671.452
1254,1126.02
1255,1264.466
1256,3029.28
1257,1121.67216
1258,521.184
1259,511.56
1260,2186.7
1261,1458.96
1262,641.97
1263,1925.88
1264,447.944
1265,584.82
1266,556.704
1267,2300.076
1268,863.928
1269,946.344
1270,795.6
1271,1652.94
1272,757.08
1273,2888.127
1274,701.47424
1275,467.04
1276,1953.666
1277,826.62
1278,875.22
1279,1399.98
1280,991.02
1281,858.64
1282,996.54
1283,1836.0
1284,753.888
1285,1002.6
1286,764.928
1287,1199.76
1288,1252.584
1289,821.88
1290,1285.44
1291,2076.48
1292,755.73
1293,927.72
1294,525.48
1295,2194.836
1296,861.6
1297,1976.562
1298,803.52
1299,1954.44
1300,714.15
1301,766.95
1302,1062.534
1303,2254.41
1304,1272.6
1305,1679.96
1306,390.96
1307,2115.216
1308,570.9
1309,1523.46696
1310,976.08
1311,529.74
1312,617.976
1313,976.08
1314,2970.9
1315,761.73348
1316,522.48
1317,956.88
1318,1913.52
1319,1123.92
1320,409.08
1321,2518.29
1322,1508.04
1323,1347.57
1324,1411.02
1325,2357.488
1326,1849.32
1327,586.08
1328,1274.7
1329,791.93296
1330,508.68
1331,1266.96
1332,1000.02
1333,1123.956
1334,1527.12
1335,782.28
1336,968.4
1337,2096.4555
1338,840.15
1339,1025.52
1340,1184.0272
1341,2177.584
1342,1327.347
1343,563.904
1344,1207.08
1345,1136.43
1346,698.64
1347,1089.75
1348,1888.7
1349,2804.58
1350,543.92
1351,1363.96
1352,1282.8
1353,1904.4
1354,776.25
1355,1599.156
1356,1224.9
1357,858.06
1358,1652.4
1359,1899.15
1360,2049.84
1361,2039.0715
1362,1272.6
1363,1938.15
1364,758.979
1365,900.72
1366,1112.697
1367,1144.89
1368,1287.96
1369,2120.8
1370,1196.3
1371,2092.752
1372,1324.35
1373,454.95
1374,1869.72
1375,346.29
1376,1908.72
1377,688.95
1378,1312.64
1379,993.66
1380,2415.42
1381,1685.90144
1382,1088.792
1383,2509.36
1384,1448.16
1385,1060.44
1386,1115.37
1387,616.44
1388,442.372
1389,1071.84
1390,1136.664
1391,1081.302
1392,1308.48
1393,1375.6
1394,1622.3355
1395,2092.5
1396,1340.3421
1397,1607.202
1398,1333.44
1399,552.501
1400,1181.0325
1401,788.22
1402,1900.5
1403,2713.41
1404,810.15
1405,2217.78
1406,687.852
1407,1141.47
1408,1241.28
1409,960.0
1410,4627.368
1411,933.536
1412,1524.2058
1413,918.459
1414,799.272
1415,2550.0
1416,1299.684
1417,1448.82
1418,1052.16
1419,766.5246
1420,509.16
1421,1836.03
1422,1460.5
1423,2544.24
1424,2068.335
1425,2220.534
1426,2583.18
1427,428.274
1428,395.44752
1429,730.32
1430,1243.98
1431,1884.6
1432,561.568
1433,1715.16
1434,1795.92
1435,1182.6
1436,2830.425
1437,627.168
1438,2885.085
1439,2863.35
1440,1085.42
1441,1099.96
1442,651.708
1443,724.8
1444,1289.5659
1445,1015.92
1446,726.78
1447,3177.711
1448,1388.94
1449,874.68
1450,1119.36
1451,829.22
1452,551.16
1453,1729.14
1454,2077.32
1455,1395.0
1456,932.985
1457,772.47
1458,1587.0015
1459,1551.6
1460,1704.56
1461,703.968
1462,965.0475
1463,1274.7
1464,1123.08
1465,1487.976
1466,1274.7
1467,2423.54
1468,474.984
1469,1358.28
1470,1471.96
1471,2534.0175
1472,1060.8
1473,485.888
1474,1674.45
1475,967.896
1476,1855.68
1477,811.23
1478,1046.25
1479,750.68
1480,1121.94
1481,1962.0
1482,663.936
1483,709.56
1484,1111.56
1485,1161.16
1486,393.5727
1487,920.88
1488,1061.04
1489,1114.4
1490,1888.236
1491,628.44
1492,3547.44
1493,1762.68
1494,610.6
1495,1057.38
1496,3024.189
1497,1912.5
1498,1808.757
1499,2386.125
1500,1367.4
1501,1413.45
1502,731.94
1503,1718.4
1504,825.12
1505,1473.1
1506,578.2
1507,1578.636
1508,501.9
1509,1614.87
1510,2672.517
1511,1699.56
1512,1286.145
1513,1961.82
1514,2016.846
1515,497.88
1516,1564.56
1517,870.24
1518,695.7
1519,626.352
1520,1275.0
1521,837.6
1522,1054.74
1523,757.2
1524,1411.55124
1525,1490.7
1526,756.6
1527,783.99
1528,2472.93
1529,321.728
1530,1181.16
1531,743.13
1532,776.412
1533,1049.2
1534,1462.14
1535,1083.75
1536,963.9
1537,464.2785
1538,672.448
1539,478.24
1540,1091.412
1541,1305.882
1542,677.76
1543,1652.4
1544,842.76
1545,1770.6
1546,1263.3
1547,2131.245
1548,1721.25
1549,1268.784
1550,1958.04
1551,1779.12
1552,1168.65
1553,520.464
1554,1567.44
1555,652.68
1556,698.04112
1557,1648.44
1558,1532.1
1559,581.4
1560,1447.8135
1561,1889.946
1562,1275.0
1563,1535.814
1564,571.83
1565,1767.552
1566,885.528
1567,561.3
1568,954.09
1569,523.8
1570,843.318
1571,704.76
1572,979.95
1573,798.75
1574,846.6
1575,727.45
1576,725.84
1577,632.145
1578,1002.9105
1579,527.31
1580,830.7
1581,1830.78
1582,1895.388
1583,1071.0
1584,452.088
1585,2452.275
1586,1023.332
1587,1216.53
1588,1353.6
1589,391.98
1590,1536.84
1591,979.95
1592,1266.96
1593,1441.3
1594,832.93
1595,1358.28
1596,2172.0768
1597,1892.25
1598,1035.8
1599,1795.92
1600,2129.4954
1601,1052.31
1602,512.76
1603,1201.095
1604,2173.5
1605,951.6
1606,1038.492
1607,972.81048
1608,1402.29
1609,404.73
1610,696.75
1611,1904.4
1612,1429.26
1613,2571.12
1614,1322.352
1615,931.77
1616,751.92
1617,868.95
1618,899.208
1619,897.225
1620,677.778
1621,1315.68
1622,520.8
1623,418.464
1624,1175.12
1625,763.28
1626,1388.73
1627,1501.2
1628,785.61
1629,852.48
1630,871.71
1631,882.75096
1632,1158.12
1633,963.136
1634,1899.54
1635,1272.63
1636,1253.07
1637,899.91
1638,1704.87
1639,1219.96
1640,1012.68
1641,1658.64
1642,1043.92
1643,786.744
1644,2124.5
1645,760.38
1646,575.968
1647,1251.936
1648,648.576
1649,1961.0352
1650,954.36
1651,482.76
1652,2104.74
1653,636.3
1654,504.0
1655,1940.064
1656,576.2
1657,566.2308
1658,1199.98
1659,785.34
1660,590.352
1661,1068.768
1662,1206.84
1663,513.72
1664,1232.88
1665,897.156
1666,719.07
1667,1078.08
1668,1314.45
1669,1111.725
1670,543.186
1671,1228.465
1672,586.08
1673,1361.9304
1674,774.18
1675,1308.48
1676,1086.18
1677,1409.04
1678,517.80624
1679,834.9
1680,893.8104
1681,425.833
1682,1428.8
1683,1917.0
1684,635.04
1685,1180.44
1686,1548.99
1687,840.56
1688,542.484
1689,1269.72
1690,852.48
1691,1878.72
1692,899.43
1693,1443.96
1694,1115.37
1695,1935.104
1696,697.86
1697,837.2376
1698,2153.16
1699,557.76
1700,2052.54
1701,346.92
1702,286.86
1703,1196.02
1704,1021.14
1705,883.264
1706,433.92
1707,393.2388
1708,1954.17
1709,636.24
1710,524.28
1711,1629.9075
1712,1210.626
1713,2878.47
1714,920.4
1715,1003.17
1716,1726.335
1717,1502.784
1718,477.8424
1719,439.92
1720,871.4
1721,1652.4
1722,1776.544
1723,1630.125
1724,1181.67
1725,331.84
1726,378.66
1727,1052.16
1728,1214.72
1729,1093.4112
1730,1568.8365
1731,947.22
1732,1658.88
1733,1095.8025
1734,2035.5816
1735,861.408
1736,2679.12
1737,1936.62
1738,454.71
1739,504.36
1740,404.676
1741,1076.58
1742,500.202
1743,1298.55
1744,2050.488
1745,1798.6764
1746,2276.0388
1747,1470.78
1748,627.192
1749,1439.968
1750,572.58
1751,1232.1
1752,636.06
1753,355.482
1754,1102.08
1755,801.568
1756,398.352
1757,1125.488
1758,1218.24
1759,2855.16
1760,617.97
1761,583.8
1762,1487.628
1763,1952.16
1764,1625.76
1765,2277.6
1766,1792.98
1767,530.52
1768,1067.6772
1769,601.32
1770,1774.224
1771,1145.6
1772,967.552
1773,931.176
1774,1592.7
1775,959.968
1776,1607.202
1777,1032.48
1778,1314.45
1779,728.568
1780,2365.605
1781,1255.5
1782,1467.36
1783,417.9
1784,1037.52
1785,2129.7
1786,1086.18
1787,872.13
1788,1680.3
1789,1068.984
1790,596.28
1791,565.515
1792,868.077
1793,473.84
1794,339.12
1795,1601.73
1796,429.48
1797,1395.54
1798,826.2
1799,1000.9125
1800,717.84
1801,1516.32
1802,2194.92
1803,758.484
1804,474.95
1805,1979.928
1806,1931.958
1807,837.63
1808,3217.41
1809,1180.44
1810,1863.54
1811,2011.92
1812,2076.606
1813,461.104
1814,532.5
1815,741.888
1816,645.138
1817,2799.944
1818,860.895
1819,399.95
1820,1496.16
1821,1464.12
1822,478.8
1823,761.4
1824,1198.32
1825,2676.672
1826,1971.3456
1827,1908.72
1828,1995.3
1829,2290.14
1830,1685.16
1831,629.1
1832,1029.375
1833,1454.49
1834,411.21
1835,1952.424
1836,646.74
1837,1156.68
1838,1513.56
1839,1075.44
1840,494.376
1841,1362.9
1842,392.93256
1843,637.08
1844,2477.55
1845,507.276
1846,599.9
1847,1773.9
1848,1486.26
1849,1727.46
1850,823.8591
1851,698.8995
1852,1194.165
1853,565.02
1854,991.8124
1855,678.771
1856,1717.335
1857,1097.544
1858,1046.376
1859,1264.466
1860,634.95
1861,1036.624
1862,613.095
1863,1007.232
1864,447.3
1865,1394.95
1866,758.352
1867,1236.42
1868,1468.44
1869,962.7345
1870,969.0228
1871,1649.214
1872,594.96
1873,1349.91
1874,1553.76
1875,1718.1
1876,492.912
1877,1573.488
1878,1199.96
1879,561.54
1880,630.36
1881,795.48
1882,625.644
1883,717.72
1884,967.56
1885,1653.12
1886,578.79
1887,752.51196
1888,1207.84
1889,951.72
1890,347.22
1891,2321.514
1892,465.0
1893,1063.44
1894,1236.06
1895,499.98
1896,490.32
1897,2123.13
1898,1406.86
1899,527.868
1900,1179.2625
1901,1152.6459
1902,1457.28
1903,1599.92
1904,1281.834
1905,2278.32
1906,1162.89
1907,1127.28
1908,1459.68
1909,611.2
1910,928.2
1911,334.9288
1912,1115.7768
1913,1451.136
1914,1371.42
1915,990.468
1916,1287.96
1917,865.62
1918,1166.96
1919,1488.424
